bcg_coverage	ba_coverage
0.0	0.0001
0.0	0.0002
0.0	0.0003
0.0	0.0004
0.0	0.0005
0.0	0.0006
0.0	0.0007
0.0	0.0008
0.0	0.0009
0.0	0.001
0.0	0.002
0.0	0.003
0.0	0.004
0.0	0.005
0.0	0.006
0.0	0.007
0.0	0.008
0.0	0.009
0.0	0.01
0.0	0.02
0.0	0.03
0.0	0.04
0.0	0.05
0.0	0.06
0.0	0.07
0.0	0.08
0.0	0.09
0.0	0.1
0.0	0.11
0.0	0.12
0.0	0.13
0.0	0.14
0.0	0.15
0.0	0.16
0.0	0.17
0.0	0.18
0.0	0.19
0.0	0.2
1.0	0.0
1.0	0.0001
1.0	0.0002
1.0	0.0003
1.0	0.0004
1.0	0.0005
1.0	0.0006
1.0	0.0007
1.0	0.0008
1.0	0.0009
1.0	0.001
1.0	0.002
1.0	0.003
1.0	0.004
1.0	0.005
1.0	0.006
1.0	0.007
1.0	0.008
1.0	0.009
1.0	0.01
1.0	0.02
1.0	0.03
1.0	0.04
1.0	0.05
1.0	0.06
1.0	0.07
1.0	0.08
1.0	0.09
1.0	0.1
1.0	0.11
1.0	0.12
1.0	0.13
1.0	0.14
1.0	0.15
1.0	0.16
1.0	0.17
1.0	0.18
1.0	0.19
1.0	0.2
5.0	0.0
5.0	0.0001
5.0	0.0002
5.0	0.0003
5.0	0.0004
5.0	0.0005
5.0	0.0006
5.0	0.0007
5.0	0.0008
5.0	0.0009
5.0	0.001
5.0	0.002
5.0	0.003
5.0	0.004
5.0	0.005
5.0	0.006
5.0	0.007
5.0	0.008
5.0	0.009
5.0	0.01
5.0	0.02
5.0	0.03
5.0	0.04
5.0	0.05
5.0	0.06
5.0	0.07
5.0	0.08
5.0	0.09
5.0	0.1
5.0	0.11
5.0	0.12
5.0	0.13
5.0	0.14
5.0	0.15
5.0	0.16
5.0	0.17
5.0	0.18
5.0	0.19
5.0	0.2
10.0	0.0
10.0	0.0001
10.0	0.0002
10.0	0.0003
10.0	0.0004
10.0	0.0005
10.0	0.0006
10.0	0.0007
10.0	0.0008
10.0	0.0009
10.0	0.001
10.0	0.002
10.0	0.003
10.0	0.004
10.0	0.005
10.0	0.006
10.0	0.007
10.0	0.008
10.0	0.009
10.0	0.01
10.0	0.02
10.0	0.03
10.0	0.04
10.0	0.05
10.0	0.06
10.0	0.07
10.0	0.08
10.0	0.09
10.0	0.1
10.0	0.11
10.0	0.12
10.0	0.13
10.0	0.14
10.0	0.15
10.0	0.16
10.0	0.17
10.0	0.18
10.0	0.19
10.0	0.2
25.0	0.0
25.0	0.0001
25.0	0.0002
25.0	0.0003
25.0	0.0004
25.0	0.0005
25.0	0.0006
25.0	0.0007
25.0	0.0008
25.0	0.0009
25.0	0.001
25.0	0.002
25.0	0.003
25.0	0.004
25.0	0.005
25.0	0.006
25.0	0.007
25.0	0.008
25.0	0.009
25.0	0.01
25.0	0.02
25.0	0.03
25.0	0.04
25.0	0.05
25.0	0.06
25.0	0.07
25.0	0.08
25.0	0.09
25.0	0.1
25.0	0.11
25.0	0.12
25.0	0.13
25.0	0.14
25.0	0.15
25.0	0.16
25.0	0.17
25.0	0.18
25.0	0.19
25.0	0.2
50.0	0.0
50.0	0.0001
50.0	0.0002
50.0	0.0003
50.0	0.0004
50.0	0.0005
50.0	0.0006
50.0	0.0007
50.0	0.0008
50.0	0.0009
50.0	0.001
50.0	0.002
50.0	0.003
50.0	0.004
50.0	0.005
50.0	0.006
50.0	0.007
50.0	0.008
50.0	0.009
50.0	0.01
50.0	0.02
50.0	0.03
50.0	0.04
50.0	0.05
50.0	0.06
50.0	0.07
50.0	0.08
50.0	0.09
50.0	0.1
50.0	0.11
50.0	0.12
50.0	0.13
50.0	0.14
50.0	0.15
50.0	0.16
50.0	0.17
50.0	0.18
50.0	0.19
50.0	0.2
75.0	0.0
75.0	0.0001
75.0	0.0002
75.0	0.0003
75.0	0.0004
75.0	0.0005
75.0	0.0006
75.0	0.0007
75.0	0.0008
75.0	0.0009
75.0	0.001
75.0	0.002
75.0	0.003
75.0	0.004
75.0	0.005
75.0	0.006
75.0	0.007
75.0	0.008
75.0	0.009
75.0	0.01
75.0	0.02
75.0	0.03
75.0	0.04
75.0	0.05
75.0	0.06
75.0	0.07
75.0	0.08
75.0	0.09
75.0	0.1
75.0	0.11
75.0	0.12
75.0	0.13
75.0	0.14
75.0	0.15
75.0	0.16
75.0	0.17
75.0	0.18
75.0	0.19
75.0	0.2
100.0	0.0
100.0	0.0001
100.0	0.0002
100.0	0.0003
100.0	0.0004
100.0	0.0005
100.0	0.0006
100.0	0.0007
100.0	0.0008
100.0	0.0009
100.0	0.001
100.0	0.002
100.0	0.003
100.0	0.004
100.0	0.005
100.0	0.006
100.0	0.007
100.0	0.008
100.0	0.009
100.0	0.01
100.0	0.02
100.0	0.03
100.0	0.04
100.0	0.05
100.0	0.06
100.0	0.07
100.0	0.08
100.0	0.09
100.0	0.1
100.0	0.11
100.0	0.12
100.0	0.13
100.0	0.14
100.0	0.15
100.0	0.16
100.0	0.17
100.0	0.18
100.0	0.19
100.0	0.2
