bcg_coverage	ba_coverage	ba31_hits	ba31_coverage	bcerg31_coverage	model_fit	model_99pi	ba_detectable	grey_zone	kraken
0	0.0001	10.2	0.000035	0.00002	0.00343685025734233	331.368135207863	FALSE	TRUE	29
0	0.0002	28.1	0.000125	0.00002	0.00343685025734233	331.368135207863	FALSE	TRUE	37
0	0.0003	45.6	0.0002	0.00002	0.00343685025734233	331.368135207863	FALSE	TRUE	51
0	0.0004	50	0.000215	0.00015	0.0257763769300675	331.390474734535	FALSE	TRUE	52
0	0.0005	65.15	0.00027	0.00034	0.0584264543748197	331.423124811981	FALSE	TRUE	72
0	0.0006	72.15	0.000295	0.00039	0.0670185800181755	331.431716937624	FALSE	TRUE	77
0	0.0007	88.05	0.000375	0.000295	0.0506935412957994	331.415391898902	FALSE	TRUE	97
0	0.0008	86.95	0.000365	0.000295	0.0506935412957994	331.415391898902	FALSE	TRUE	100
0	0.0009	115.95	0.000485	0.000615	0.105683145413277	331.470381503021	FALSE	TRUE	133
0	0.001	139.05	0.00058	0.00042	0.072173855404189	331.436872213011	FALSE	TRUE	156
0	0.002	246.05	0.00102	0.001845	0.31704943623983	331.681747793868	FALSE	TRUE	266
0	0.003	346.2	0.001455	0.002445	0.4201549439601	331.784853301606	TRUE	TRUE	401
0	0.004	507.4	0.00213	0.00199	0.341966600605562	331.706664958238	TRUE	TRUE	554
0	0.005	670.4	0.0028	0.00254	0.436479982682476	331.801178340332	TRUE	TRUE	749
0	0.006	802.75	0.003355	0.0041	0.704554302755178	332.069252660475	TRUE	TRUE	879
0	0.007	948.9	0.00397	0.004525	0.777587370723703	332.142285728468	TRUE	TRUE	1036
0	0.008	1090.4	0.004575	0.00441	0.757825481743984	332.122523839481	TRUE	TRUE	1198
0	0.009	1147.55	0.004795	0.005745	0.987235236421585	332.351933594251	TRUE	TRUE	1293
0	0.01	1367.7	0.00573	0.00508	0.872959965364952	332.237658323146	TRUE	TRUE	1508
0	0.02	2617.6	0.010985	0.010115	1.73818701765088	333.102885375952	TRUE	TRUE	2863
0	0.03	3996.1	0.016795	0.018465	3.17307200009131	334.537770360016	TRUE	TRUE	4389
0	0.04	5277.7	0.022325	0.024255	4.16804014959191	335.532738511199	TRUE	TRUE	5809
0	0.05	6455.2	0.02732	0.03176	5.45771820865962	336.822416573127	TRUE	TRUE	7125
0	0.06	7686.65	0.03267	0.03574	6.14165140987075	337.506349776166	TRUE	TRUE	8435
0	0.07	8953.05	0.038	0.044565	7.65816158592305	339.022859957039	TRUE	TRUE	9930
0	0.08	10373.4	0.044225	0.042	7.2173855404189	338.582083910025	TRUE	TRUE	11496
0	0.09	11602.7	0.0497	0.051205	8.79919587136071	340.163894246803	TRUE	TRUE	12797
0	0.1	13074.1	0.056135	0.05701	9.79674165855432	341.16144003827	TRUE	TRUE	14426
0	0.11	14127.5	0.06079	0.06493	11.1577343604619	342.522432746748	TRUE	TRUE	15609
0	0.12	15452.7	0.066555	0.067775	11.6466263095688	343.011324698423	TRUE	TRUE	16927
0	0.13	17132.25	0.0742	0.076845	13.2052379012736	344.569936299052	TRUE	TRUE	18738
0	0.14	17712.25	0.07685	0.08148	14.0017279484127	345.366426351183	TRUE	TRUE	19703
0	0.15	19275.2	0.083845	0.088645	15.2329795531056	346.597677964168	TRUE	TRUE	21181
0	0.16	20534.45	0.08977	0.095395	16.3929165149586	347.757614934472	TRUE	TRUE	22757
0	0.17	22036.1	0.096455	0.09971	17.1344169579802	348.499115383221	TRUE	TRUE	24102
0	0.18	23024.45	0.101005	0.110905	19.0581938895276	350.422892330809	TRUE	FALSE	25620
0	0.19	23955.3	0.105405	0.11493	19.7498600038177	351.114558451283	TRUE	FALSE	26353
0	0.2	25396.45	0.11214	0.123105	21.1546725465064	352.51937100721	TRUE	FALSE	27871
1	0	99.05	0.00041	0.592945	101.893158791992	433.257859541417	FALSE	TRUE	356
10	0	1049.45	0.004405	6.1152	1050.85133468499	1382.21628744477	FALSE	TRUE	3860
