bcg_coverage	ba_coverage	kraken
0.0	0.007	1036
0.0	0.04	5809
0.0	0.06	8435
0.0	0.02	2863
0.0	0.12	16927
0.0	0.009	1293
0.0	0.0006	77
0.0	0.2	27871
0.0	0.13	18738
0.0	0.0008	100
0.0	0.1	14426
0.0	0.16	22757
0.0	0.09	12797
0.0	0.003	401
0.0	0.14	19703
0.0	0.0003	51
0.0	0.0002	37
0.0	0.006	879
0.0	0.0005	72
0.0	0.17	24102
0.0	0.19	26353
0.0	0.05	7125
0.0	0.08	11496
0.0	0.0007	97
0.0	0.11	15609
0.0	0.0009	133
0.0	0.0001	29
0.0	0.008	1198
0.0	0.004	554
0.0	0.002	266
0.0	0.01	1508
0.0	0.001	156
0.0	0.07	9930
0.0	0.03	4389
0.0	0.005	749
0.0	0.0004	52
0.0	0.18	25620
0.0	0.15	21181
75.0	0.007	25363
75.0	0.04	29729
75.0	0.06	32589
75.0	0.02	26977
75.0	0.12	40804
75.0	0.0	24235
75.0	0.009	25688
75.0	0.0006	24399
75.0	0.2	51132
75.0	0.13	42432
75.0	0.0008	24192
75.0	0.1	38156
75.0	0.16	45745
75.0	0.09	36364
75.0	0.003	24327
75.0	0.14	42912
75.0	0.0003	24259
75.0	0.0002	24253
75.0	0.006	24961
75.0	0.0005	24388
75.0	0.17	47200
75.0	0.19	49764
75.0	0.05	31109
75.0	0.08	35566
75.0	0.0007	24138
75.0	0.11	39399
75.0	0.0009	24670
75.0	0.0001	24246
75.0	0.008	25087
75.0	0.004	24583
75.0	0.002	24437
75.0	0.01	25461
75.0	0.001	24484
75.0	0.07	34085
75.0	0.03	28410
75.0	0.005	25149
75.0	0.0004	23989
75.0	0.18	48287
75.0	0.15	44422
5.0	0.007	2917
5.0	0.04	7903
5.0	0.06	10504
5.0	0.02	4809
5.0	0.12	18917
5.0	0.0	1876
5.0	0.009	3361
5.0	0.0006	2010
5.0	0.2	29602
5.0	0.13	20303
5.0	0.0008	2038
5.0	0.1	16119
5.0	0.16	24603
5.0	0.09	14586
5.0	0.003	2382
5.0	0.14	21502
5.0	0.0003	1971
5.0	0.0002	1961
5.0	0.006	2731
5.0	0.0005	1994
5.0	0.17	25500
5.0	0.19	28430
5.0	0.05	9329
5.0	0.08	13316
5.0	0.0007	2002
5.0	0.11	17395
5.0	0.0009	2086
5.0	0.0001	1889
5.0	0.008	3114
5.0	0.004	2535
5.0	0.002	2210
5.0	0.01	3443
5.0	0.001	2011
5.0	0.07	12019
5.0	0.03	6294
5.0	0.005	2664
5.0	0.0004	1969
5.0	0.18	26995
5.0	0.15	23120
100.0	0.007	31849
100.0	0.04	36677
100.0	0.06	39559
100.0	0.02	33872
100.0	0.12	46906
100.0	0.0	30755
100.0	0.009	32143
100.0	0.0006	30767
100.0	0.2	56863
100.0	0.13	48996
100.0	0.0008	30908
100.0	0.1	44110
100.0	0.16	52164
100.0	0.09	43323
100.0	0.003	31039
100.0	0.14	49362
100.0	0.0003	30939
100.0	0.0002	30931
100.0	0.006	31487
100.0	0.0005	30744
100.0	0.17	53634
100.0	0.19	55806
100.0	0.05	37880
100.0	0.08	42344
100.0	0.0007	31015
100.0	0.11	45492
100.0	0.0009	31131
100.0	0.0001	30767
100.0	0.008	31936
100.0	0.004	31280
100.0	0.002	31171
100.0	0.01	31961
100.0	0.001	30931
100.0	0.07	40396
100.0	0.03	35022
100.0	0.005	31335
100.0	0.0004	30768
100.0	0.18	54465
100.0	0.15	50954
50.0	0.007	17752
50.0	0.04	22772
50.0	0.06	25238
50.0	0.02	19862
50.0	0.12	34094
50.0	0.0	16912
50.0	0.009	18279
50.0	0.0006	16981
50.0	0.2	44055
50.0	0.13	34753
50.0	0.0008	17030
50.0	0.1	31197
50.0	0.16	39507
50.0	0.09	29739
50.0	0.003	17401
50.0	0.14	36288
50.0	0.0003	16913
50.0	0.0002	16905
50.0	0.006	17700
50.0	0.0005	16971
50.0	0.17	40547
50.0	0.19	42711
50.0	0.05	24132
50.0	0.08	28274
50.0	0.0007	17091
50.0	0.11	32274
50.0	0.0009	17270
50.0	0.0001	16926
50.0	0.008	17841
50.0	0.004	17554
50.0	0.002	17096
50.0	0.01	18262
50.0	0.001	17089
50.0	0.07	26927
50.0	0.03	21132
50.0	0.005	17715
50.0	0.0004	17117
50.0	0.18	41817
50.0	0.15	37826
10.0	0.007	4640
10.0	0.04	9495
10.0	0.06	12414
10.0	0.02	6823
10.0	0.12	20947
10.0	0.0	3860
10.0	0.009	5068
10.0	0.0006	3788
10.0	0.2	31804
10.0	0.13	22389
10.0	0.0008	4098
10.0	0.1	18081
10.0	0.16	26103
10.0	0.09	16558
10.0	0.003	4168
10.0	0.14	23735
10.0	0.0003	3828
10.0	0.0002	3804
10.0	0.006	4568
10.0	0.0005	3778
10.0	0.17	27765
10.0	0.19	30251
10.0	0.05	10894
10.0	0.08	15199
10.0	0.0007	3974
10.0	0.11	19210
10.0	0.0009	3919
10.0	0.0001	3873
10.0	0.008	4875
10.0	0.004	4256
10.0	0.002	4169
10.0	0.01	5183
10.0	0.001	3880
10.0	0.07	13698
10.0	0.03	8052
10.0	0.005	4531
10.0	0.0004	3829
10.0	0.18	28443
10.0	0.15	24538
1.0	0.007	1431
1.0	0.04	6302
1.0	0.06	9169
1.0	0.02	3429
1.0	0.12	17665
1.0	0.0	356
1.0	0.009	1807
1.0	0.0006	458
1.0	0.2	28516
1.0	0.13	19082
1.0	0.0008	474
1.0	0.1	14522
1.0	0.16	22819
1.0	0.09	13640
1.0	0.003	718
1.0	0.14	20244
1.0	0.0003	424
1.0	0.0002	415
1.0	0.006	1314
1.0	0.0005	450
1.0	0.17	24294
1.0	0.19	27133
1.0	0.05	7772
1.0	0.08	11951
1.0	0.0007	493
1.0	0.11	16184
1.0	0.0009	524
1.0	0.0001	375
1.0	0.008	1664
1.0	0.004	1022
1.0	0.002	684
1.0	0.01	1844
1.0	0.001	560
1.0	0.07	10227
1.0	0.03	4670
1.0	0.005	1089
1.0	0.0004	455
1.0	0.18	25701
1.0	0.15	21725
25.0	0.007	10183
25.0	0.04	14778
25.0	0.06	17388
25.0	0.02	11780
25.0	0.12	25809
25.0	0.0	8904
25.0	0.009	10304
25.0	0.0006	9174
25.0	0.2	36866
25.0	0.13	27470
25.0	0.0008	9160
25.0	0.1	23278
25.0	0.16	31494
25.0	0.09	21672
25.0	0.003	9359
25.0	0.14	28830
25.0	0.0003	8980
25.0	0.0002	8966
25.0	0.006	9969
25.0	0.0005	9158
25.0	0.17	32690
25.0	0.19	35034
25.0	0.05	15923
25.0	0.08	20506
25.0	0.0007	9144
25.0	0.11	24538
25.0	0.0009	9080
25.0	0.0001	8922
25.0	0.008	10168
25.0	0.004	9552
25.0	0.002	9346
25.0	0.01	10585
25.0	0.001	9176
25.0	0.07	18893
25.0	0.03	13386
25.0	0.005	9780
25.0	0.0004	9131
25.0	0.18	34001
25.0	0.15	29946
