sample	coverage	tests	successes	status
ERR930296	0.070000	100	100	strict
ERR930297	0.090000	100	100	strict
ERR930298	0.100000	100	100	strict
ERR930299	0.090000	100	100	strict
ERR930300	0.060000	100	100	strict
ERR930301	0.080000	100	100	strict
ERR930302	0.070000	100	100	strict
ERR930303	0.080000	100	100	strict
ERR930304	0.100000	100	100	strict
ERR930305	0.080000	100	100	strict
ERR930306	0.070000	100	100	strict
SRR1776686	0.040000	100	100	strict
SRR1999707	0.070000	100	100	strict
SRR1999708	0.070000	100	100	strict
SRR1999709	0.052000	100	100	strict
SRR1999710	0.070000	100	100	strict
SRR1999711	0.070000	100	100	strict
SRR1999712	0.047800	100	100	strict
SRR2075979	0.070000	100	100	strict
SRR2094245	0.080000	100	100	strict
SRR2094250	0.033700	100	100	strict
SRR2094253	0.070000	100	100	strict
SRR2094254	0.050000	100	100	strict
SRR2094255	0.040000	100	100	strict
SRR2094256	0.050000	100	100	strict
SRR2094257	0.050000	100	100	strict
SRR2094258	0.060000	100	100	strict
SRR2094259	0.080000	100	100	strict
SRR2094261	0.080000	100	100	strict
SRR2094262	0.070000	100	100	strict
SRR2094263	0.050000	100	100	strict
SRR2094264	0.050000	100	100	strict
SRR2094265	0.100000	100	100	strict
SRR2094266	0.080000	100	100	strict
SRR2094267	0.050000	100	100	strict
SRR2094268	0.070000	100	100	strict
SRR2094269	0.070000	100	100	strict
SRR2094270	0.060000	100	100	strict
SRR2094271	0.035000	100	100	strict
SRR2094272	0.050000	100	100	strict
SRR2094273	0.060000	100	100	strict
SRR2155541	0.060000	100	100	strict
SRR2155549	0.050000	100	100	strict
SRR2155551	0.090000	100	100	strict
SRR2157024	0.070000	100	100	strict
SRR2157175	0.090000	100	100	strict
SRR2157176	0.082800	100	100	strict
SRR2164194	0.082800	100	100	strict
SRR2164197	0.090000	100	100	strict
SRR2174561	0.060000	100	100	strict
SRR2174564	0.045800	100	100	strict
SRR2175366	0.090000	100	100	strict
SRR2339125	0.039000	100	100	strict
SRR2339184	0.070000	100	100	strict
SRR2339241	0.090000	100	100	strict
SRR2339291	0.080000	100	100	strict
SRR2339356	0.080000	100	100	strict
SRR2339381	0.050000	100	100	strict
SRR2339406	0.100000	100	100	strict
SRR2339493	0.090000	100	100	strict
SRR2339516	0.070000	100	100	strict
SRR2339549	0.047800	100	100	strict
SRR2339584	0.060000	100	100	strict
SRR2339613	0.090000	100	100	strict
SRR2339615	0.090000	100	100	strict
SRR2339616	0.060000	100	100	strict
SRR2339617	0.080000	100	100	strict
SRR2339618	0.059000	100	100	strict
SRR2339619	0.039000	100	100	strict
SRR2339620	0.090000	100	100	strict
SRR2339621	0.060000	100	100	strict
SRR2339622	0.064000	100	100	strict
SRR2339624	0.080000	100	100	strict
SRR2339627	0.090000	100	100	strict
SRR2339632	0.050000	100	100	strict
SRR2339633	0.060000	100	100	strict
SRR2339634	0.040000	100	100	strict
SRR2339635	0.060000	100	100	strict
SRR2339636	0.090000	100	100	strict
SRR2339637	0.090000	100	100	strict
SRR2339638	0.036900	100	100	strict
SRR2339639	0.100000	100	100	strict
SRR2339640	0.066200	100	100	strict
SRR2339641	0.060000	100	100	strict
SRR2339642	0.060000	100	100	strict
SRR2339643	0.052000	100	100	strict
SRR2339644	0.060000	100	100	strict
SRR2339645	0.060000	100	100	strict
SRR2339647	0.080000	100	100	strict
SRR2339648	0.080000	100	100	strict
SRR2339651	0.060000	100	100	strict
SRR2339652	0.070000	100	100	strict
SRR2339676	0.080000	100	100	strict
SRR2339728	0.100000	100	100	strict
SRR2339757	0.100000	100	100	strict
SRR2339823	0.080000	100	100	strict
SRR2339898	0.060000	100	100	strict
SRR2339940	0.060000	100	100	strict
SRR2339961	0.070000	100	100	strict
SRR2340010	0.070000	100	100	strict
SRR2340041	0.080000	100	100	strict
SRR2340073	0.060000	100	100	strict
SRR2340119	0.070000	100	100	strict
SRR2340171	0.060000	100	100	strict
SRR2340230	0.060000	100	100	strict
SRR2340252	0.044900	100	100	strict
SRR2340304	0.050000	100	100	strict
SRR2340305	0.040000	100	100	strict
SRR2340349	0.070000	100	100	strict
SRR2340350	0.059000	100	100	strict
SRR2340435	0.070000	100	100	strict
SRR2340460	0.050000	100	100	strict
SRR2340461	0.050000	100	100	strict
SRR2340463	0.080000	100	100	strict
SRR2340464	0.060000	100	100	strict
SRR2340465	0.080000	100	100	strict
SRR2340466	0.060000	100	100	strict
SRR2340467	0.060000	100	100	strict
SRR2340468	0.080000	100	100	strict
SRR2340469	0.052800	100	100	strict
SRR2340470	0.060000	100	100	strict
SRR2340471	0.058000	100	100	strict
SRR2340472	0.070000	100	100	strict
SRR2340474	0.067000	100	100	strict
SRR2340475	0.050000	100	100	strict
SRR2340476	0.090000	100	100	strict
SRR2340477	0.090000	100	100	strict
SRR2340478	0.040000	100	100	strict
SRR2340479	0.059000	100	100	strict
SRR2340480	0.060000	100	100	strict
SRR2340481	0.177000	100	100	strict
SRR2340482	0.090000	100	100	strict
SRR2340483	0.080000	100	100	strict
SRR2340484	0.100000	100	100	strict
SRR2340486	0.040000	100	100	strict
SRR2340487	0.030000	100	100	strict
SRR2340488	0.060000	100	100	strict
SRR2340489	0.040000	100	100	strict
SRR2340490	0.030000	100	100	strict
SRR2340491	0.200000	100	100	strict
SRR2340492	0.070000	100	100	strict
SRR2340505	0.070000	100	100	strict
SRR2340513	0.060000	100	100	strict
SRR2340624	0.080000	100	100	strict
SRR2340670	0.070000	100	100	strict
SRR2340697	0.090000	100	100	strict
SRR2340730	0.200000	100	100	strict
SRR2340803	0.090000	100	100	strict
SRR2340857	0.200000	100	100	strict
SRR2340858	0.060000	100	100	strict
SRR2340910	0.200000	100	100	strict
SRR2340969	0.069400	100	100	strict
SRR2340986	0.200000	100	100	strict
SRR2968155	0.053900	100	100	strict
SRR2968157	0.047800	100	100	strict
SRR2968159	0.038000	100	100	strict
SRR2968163	0.200000	100	100	strict
SRR2968164	0.100000	100	100	strict
SRR2968165	0.200000	100	100	strict
SRR2968166	0.070000	100	100	strict
SRR2968170	0.080000	100	100	strict
SRR2968171	0.070000	100	100	strict
SRR2968179	0.100000	100	100	strict
SRR5409204	0.200000	100	100	strict
ERR930296	0.040000	100	95	relaxed
ERR930297	0.058900	100	99	relaxed
ERR930298	0.059000	100	97	relaxed
ERR930299	0.058000	100	97	relaxed
ERR930300	0.037000	100	95	relaxed
ERR930301	0.040000	100	95	relaxed
ERR930302	0.048900	100	95	relaxed
ERR930303	0.048700	100	95	relaxed
ERR930304	0.060700	100	99	relaxed
ERR930305	0.045700	100	98	relaxed
ERR930306	0.035900	100	98	relaxed
SRR1776686	0.026600	100	98	relaxed
SRR1999707	0.048000	100	97	relaxed
SRR1999708	0.039000	100	96	relaxed
SRR1999709	0.050700	100	98	relaxed
SRR1999710	0.040500	100	97	relaxed
SRR1999711	0.034900	100	95	relaxed
SRR1999712	0.047500	100	95	relaxed
SRR2075979	0.050000	100	95	relaxed
SRR2094245	0.058800	100	95	relaxed
SRR2094250	0.033100	100	95	relaxed
SRR2094253	0.030000	100	98	relaxed
SRR2094254	0.024900	100	95	relaxed
SRR2094255	0.038300	100	99	relaxed
SRR2094256	0.030000	100	95	relaxed
SRR2094257	0.029400	100	98	relaxed
SRR2094258	0.030700	100	95	relaxed
SRR2094259	0.049700	100	96	relaxed
SRR2094261	0.038000	100	97	relaxed
SRR2094262	0.029900	100	97	relaxed
SRR2094263	0.025800	100	97	relaxed
SRR2094264	0.037900	100	99	relaxed
SRR2094265	0.050000	100	97	relaxed
SRR2094266	0.057000	100	96	relaxed
SRR2094267	0.033000	100	96	relaxed
SRR2094268	0.038800	100	96	relaxed
SRR2094269	0.033600	100	97	relaxed
SRR2094270	0.030900	100	97	relaxed
SRR2094271	0.032700	100	99	relaxed
SRR2094272	0.030000	100	96	relaxed
SRR2094273	0.029000	100	96	relaxed
SRR2155541	0.031800	100	95	relaxed
SRR2155549	0.027800	100	97	relaxed
SRR2155551	0.063900	100	97	relaxed
SRR2157024	0.058800	100	95	relaxed
SRR2157175	0.059600	100	97	relaxed
SRR2157176	0.082200	100	98	relaxed
SRR2164194	0.082200	100	98	relaxed
SRR2164197	0.063900	100	97	relaxed
SRR2174561	0.038800	100	97	relaxed
SRR2174564	0.045400	100	96	relaxed
SRR2175366	0.047200	100	98	relaxed
SRR2339125	0.035300	100	96	relaxed
SRR2339184	0.049000	100	97	relaxed
SRR2339241	0.049600	100	98	relaxed
SRR2339291	0.049800	100	95	relaxed
SRR2339356	0.038800	100	96	relaxed
SRR2339381	0.044000	100	95	relaxed
SRR2339406	0.068600	100	98	relaxed
SRR2339493	0.068000	100	97	relaxed
SRR2339516	0.046700	100	95	relaxed
SRR2339549	0.047700	100	97	relaxed
SRR2339584	0.046000	100	95	relaxed
SRR2339613	0.065000	100	95	relaxed
SRR2339615	0.055000	100	95	relaxed
SRR2339616	0.040000	100	95	relaxed
SRR2339617	0.050000	100	97	relaxed
SRR2339618	0.051000	100	98	relaxed
SRR2339619	0.033700	100	95	relaxed
SRR2339620	0.053000	100	97	relaxed
SRR2339621	0.037900	100	95	relaxed
SRR2339622	0.060900	100	96	relaxed
SRR2339624	0.048800	100	99	relaxed
SRR2339627	0.050000	100	95	relaxed
SRR2339632	0.018900	100	95	relaxed
SRR2339633	0.036000	100	95	relaxed
SRR2339634	0.019000	100	95	relaxed
SRR2339635	0.030900	100	95	relaxed
SRR2339636	0.058000	100	95	relaxed
SRR2339637	0.043900	100	96	relaxed
SRR2339638	0.036600	100	97	relaxed
SRR2339639	0.049000	100	97	relaxed
SRR2339640	0.066100	100	96	relaxed
SRR2339641	0.036800	100	96	relaxed
SRR2339642	0.050900	100	95	relaxed
SRR2339643	0.051000	100	95	relaxed
SRR2339644	0.039000	100	97	relaxed
SRR2339645	0.037700	100	96	relaxed
SRR2339647	0.040000	100	95	relaxed
SRR2339648	0.039000	100	95	relaxed
SRR2339651	0.039900	100	95	relaxed
SRR2339652	0.050000	100	98	relaxed
SRR2339676	0.039900	100	97	relaxed
SRR2339728	0.059000	100	97	relaxed
SRR2339757	0.059000	100	97	relaxed
SRR2339823	0.040000	100	95	relaxed
SRR2339898	0.035900	100	95	relaxed
SRR2339940	0.037000	100	96	relaxed
SRR2339961	0.040000	100	99	relaxed
SRR2340010	0.039800	100	96	relaxed
SRR2340041	0.039800	100	97	relaxed
SRR2340073	0.035200	100	97	relaxed
