.	NZ_CP013055	NZ_CP016784	NZ_CP023320	NZ_CP010577	NZ_CP012722	NZ_CP024647	NZ_CP025001	NZ_CP018184	NZ_CP020375	NZ_CP020367	NZ_CP011937	NZ_CP017676	NZ_CP021889	NC_022081	NZ_CP012330	NZ_CP019626	NZ_CP011101	NC_020507	NZ_CP020814	NZ_CP022531	NZ_CP017070	NC_016779	NZ_CP011974	NZ_CP009325	NZ_CP009968	NZ_CP009920	NZ_CP013950	NZ_CP015222	NZ_CP007626	NC_020410	NC_012472	NZ_AP012496	NZ_CP014781	NZ_CP019230	NZ_CP007512	NZ_CP004858	NZ_CP010556	NZ_CP013274	NZ_CP018100	NZ_CP026610	NZ_CP010314	NZ_CP007409	NZ_CP021669	NZ_CP020002	NC_017191	NZ_CP008855	NZ_CP009605	NZ_CP009902	NC_022873	NZ_CP023179	NZ_CP015443	NZ_CP020722	NZ_CP011153	NZ_CP014794	NZ_CP015779	NZ_CP022874	NZ_CP012475	NZ_CP021338	NC_014171	NZ_CP007173	NZ_CP023431	NZ_CP015226	NZ_CP018874	NC_018520	NZ_CP015975	NC_022524	NZ_CP017763	NZ_CP016894	NZ_CP020352	NC_016047	NZ_CP012482	NZ_CP008846	NZ_CP009679	NZ_CP011007	NC_011725	NC_016784	NZ_CP016020	NZ_CP014840	NZ_CP007666	NZ_CP025122	NZ_CP009300	NZ_CP018935	NZ_CP012727	NC_014335	NC_017195	NC_011773	NZ_CP026678	NZ_CP018249	NZ_CP010524	NC_018877	NZ_CP013654	NC_000964	NZ_CP023666	NZ_CP022345	NZ_CP012720	NZ_CP011347	NZ_CP022654	NZ_CP014486	NZ_CP017888	NZ_CP014793	NZ_CP009700	NZ_CP022983	NZ_CP020102	NZ_CP021892	NZ_CP022477	NC_022530	NZ_CP006058	NC_017743	NZ_CP019985	NC_017190	NZ_CP009315	NZ_CP022556	NZ_CP018133	NZ_CP011346	NC_014551	NZ_CP007739	NZ_CP015350	NC_020238	NZ_CP021499	NZ_CP018197	NZ_CP018866	NC_022781	NZ_CP018574	NZ_CP018173	NC_014103	NZ_CP020023	NZ_CP021921	NZ_CP014795	NZ_CP023665	NZ_CP021677	NZ_CP018200	NZ_AP014928	NZ_CP015611	NZ_CP026673	NC_014479	NZ_CP021505	NC_017188	NZ_CP007618	NZ_CP009590	NZ_CP015176	NC_020832	NZ_CP015150	NZ_CP008698	NC_019896	NC_008600	NZ_CP018903	NZ_CP017060	NZ_CP012691	NZ_CP017775	NZ_CP024897	NZ_CP025941	NZ_CP012729	NC_013791	NZ_CP009641	NZ_CP007800	NZ_CP025258	NZ_CP015375	NZ_CP022319	NZ_CP001970	NC_016023	NZ_CP014166	NC_010184	NC_003909	NC_018500	NZ_CP021011	NC_006274	NZ_CP020880	NZ_CP010075	NC_018693	NZ_CP017953	NZ_CP014179	NZ_CP009341	NZ_CP012728	NC_021362	NZ_CP019040	NZ_CP022287	NZ_CP012519	NC_017208	NZ_CP007165	NZ_CP006960	NZ_CP024203	NZ_CP011008	NZ_CP011155	NC_020376	NZ_CP011534	NZ_CP014783	NZ_CP022890	NC_023073	NZ_CP018295	NC_018491	NZ_CP011939	NZ_CP010406	NZ_CP016767	NZ_CP009981	NZ_CP017747	NZ_CP010525	NZ_CP009331	NZ_CP010014	NC_015634	NZ_CP012726	NZ_CP020893	NZ_CP021500	NZ_CP022341	NC_018508	NZ_CP025341	NC_017138	NZ_CP010088	NZ_CP005997	NZ_CP017314	NC_017061	NC_006582	NZ_CP010997	NZ_CP007242	NC_017200	NZ_CP014842	NZ_CP009686	NZ_CP004870	NZ_CP009628	NZ_CP009544	NZ_CP006890	NZ_CP009749	NZ_CP017786	NZ_CP006742	NZ_CP010586	NZ_CP018933	NZ_CP009328	NZ_CP018007	NZ_CP011151	NZ_CP017234	NZ_CP021903	NZ_CP021169	NZ_CP015727	NZ_CP025939	NZ_CP009611	NZ_CP014282	NZ_CP017016	NC_011658	NC_021171	NZ_CP014990	NZ_CP021495	NZ_CP020437	NZ_CP021920	NC_014976	NC_017196	NZ_CP007436	NZ_CP021061	NZ_CP010052	NZ_CP015607	NZ_CP016913	NZ_CP016360	NZ_CP016371	NZ_CP009941	NZ_CP024797	NZ_CP009351	NC_004722	NC_022075	NC_020244	NC_019842	NZ_CP009746	NZ_CP009369	NZ_CP022044	NZ_CP009697	NZ_CP014471	NZ_CP010322	NC_014829	NZ_CP011349	NC_007530	NZ_CP017072	NZ_CP023481	NZ_CP026649	NZ_CP022891	NZ_CP022445	NZ_CP009796	NZ_CP017112	NC_016771	NZ_AP014833	NZ_CP015911	NC_009725	NZ_CP025308	NZ_CP016315	NZ_CP018931	NC_022898	NZ_CP009476	NC_014019	NZ_CP011252	NC_012659	NC_003997	NZ_CP010106	NZ_CP009108	NZ_CP001974	NZ_CP012099	NZ_CP011882	NZ_CP020743	NZ_CP011115	NZ_CP009709	NZ_CP023729	NZ_CP012725	NC_009848	NZ_CP026533	NZ_CP011278	NZ_AP013294	NZ_CP017247	NZ_AP014864	NZ_CP010792	NZ_CP012329	NC_022653	NZ_CP016395	NZ_CP020723	NZ_CP015250	NZ_CP024035	NZ_CP021507	NZ_CP009596	NC_002570	NZ_CP012723	NZ_CP009598	NZ_CP014700	NZ_CP010089	NZ_CP009692	NZ_CP011686	NZ_CP010852	NC_006322	NZ_CP009600	NZ_CP019588	NZ_CP007244	NC_005945	NZ_CP017080	NC_011969	NZ_CP009541	NZ_CP015004	NZ_CP015589	NZ_CP012730	NZ_CP003923	NZ_CP020383	NZ_CP020805	NZ_CP013984	NZ_CP016588	NZ_CP007607	NZ_CP009720	NZ_CP009938	NC_020272	NZ_CP013727	NZ_CP012724	NZ_CP021498	NZ_CP010005	NC_014639	NC_017729	NC_006270	NZ_CP009318	NZ_CP012502	NZ_CP012483	NZ_CP009335	NZ_CP023859	NZ_CP016790	NC_009674	NZ_CP017704	NC_012581	NZ_CP016852	NZ_CP012721	NZ_CP023748	NZ_CP017577	NZ_CP010053	NC_011772	NZ_CP021911	NZ_CP022653	NZ_CP024204	NZ_CP023001	NC_017912	NZ_CP018152	NZ_CP010778	NC_005957	NZ_CP015610	NZ_CP023257	NZ_CP009464	NZ_CP023168	NZ_CP021976	NZ_CP009748	NZ_CP011150	NZ_CP012024	NZ_CP015506
NZ_CP013055	0											0.245982					0.247057																												0.247331																	0.234718																											0.247608		0.246247				0.0644015																																					0.246515															0.0276177																	0.0317804								0.0644205				0.246247																												0.0313039			0.0637787					0.247057			0.247057																			0.246247						0.245458																												0.246515																	0.247331				0.246247		0.0306728									0.245719											0.241314																					0.264834													0.241314																						0.246515												
NZ_CP016784	0.248169	0					0.193833			0.191607		0.191705	0.191073		0.0759592		0.192149		0.234905											0.193417					0.246515				0.0614314		0.192399				0.194043	0.224705		0.246247	0.247331						0.245719				0.246785			0.228163				0.234533				0.191607	0.0759579	0.245719			0.247057	0.194361						0.245458	0.245719	0.245198	0.19117		0.246247	0.196909	0.198023	0.24019	0.189479	0.1926			0.245719		0.195061	0.246515				0.229403			0.19755		0.193781				0.245719		0.194898													0.190691	0.192149					0.0758189							0.239319			0.247888		0.191656	0.245982		0.240412		0.194149	0.193991		0.245719		0.246247				0.0760258	0.245719		0.191803		0.24019	0.247888	0.194255							0.245719	0.245719			0.189708			0.194575		0.191315	0.235664								0.244687			0.191315		0.193417		0.245458		0.240635		0.193313			0.24086	0.194149		0.245458				0.240412	0.0742965	0.192955		0.196909			0.239534					0.245719	0.230366			0.193159				0.191073		0.195499	0.193108				0.231696	0.193572	0.193313			0.192199	0.190644		0.24086									0.247608		0.190079				0.245719				0.249913		0.245719	0.191607		0.237037		0.247057							0.195061				0.245719		0.193885				0.0762754		0.23868	0.191754							0.194202	0.193417	0.239752	0.19755					0.194149		0.246247		0.190977								0.19321			0.245982	0.245719									0.238054		0.191363			0.247888				0.193938	0.245719			0.191754				0.244183	0.246785			0.22363	0.235857	0.236245		0.1926	0.245719		0.247331					0.0762492	0.245719	0.194736		0.191705	0.245458				0.198143					
NZ_CP023320	0.245982	0.19479	0			0.0185944	0.0463017		0.0199135	0.141342		0.142084	0.142231		0.193833		0.142472		0.24019		0.142105				0.246247					0.0193555		0.12681		0.246247	0.246247	0.245982			0.192399		0.142136				0.0495463	0.229721	0.246247	0.246785	0.246247						0.246247		0.241775		0.245458			0.231191		0.142189	0.141752	0.235857	0.143069		0.183752	0.144286	0.193833	0.246247			0.246247	0.013698	0.225676					0.245982	0.246247	0.247057	0.141856	0.247057	0.245982	0.185971	0.185161	0.245982	0.141598	0.142262		0.246247	0.246247	0.0201831	0.000890492	0.245458	0.235093	0.186676	0.246247	0.234164		0.140726	0.186177	0.0188909	0.0201976	0.142189	0.242478		0.246515		0.0186464									0.245198			0.231024	0.143102	0.142663	0.186177				0.193781				0.0491587			0.247608	0.244687	0.141918	0.245982		0.142304	0.247057	0.246247	0.245982		0.0177005	0.0185236	0.142074	0.246247		0.247331			0.14222	0.193417	0.246247		0.142367	0.244941	0.245982	0.245982	0.0118956						0.246515	0.246247	0.246247			0.141752		0.247057	0.0137718		0.0205363	0.239319	0.246515							0.246515	0.234533		0.141959		0.0119756		0.245982	0.142293	0.238261	0.246247	0.0199074	0.149193		0.244183	0.0138986		0.247057	0.142304	0.141928		0.242008	0.194043	0.0191893	0.245982	0.185971		0.245982	0.246515	0.246247		0.0202067		0.246247	0.232382	0.245982		0.0199655	0.245719			0.141856	0.246515	0.0191145	0.0193797	0.245982	0.246785		0.235473	0.0100359	0.019914			0.142462	0.143037	0.193417	0.246247	0.142252	0.1926							0.246247		0.141918				0.246247				0.253047		0.246247	0.142043	0.186887	0.234718	0.143535	0.245719		0.141516				0.0196783	0.0191411				0.246247		0.0497374		0.246515		0.193108	0.246247	0.245982	0.142262				0.186053			0.0179898	0.0132839	0.241775	0.186177			0.193833		0.0134537		0.245982		0.143513	0.246247				0.0136049	0.245982		0.0194771	0.246247		0.247057	0.246247		0.246247	0.236638		0.246247			0.246247	0.242478		0.0199507	0.142001		0.245982				0.0135608	0.246247	0.142199	0.245982	0.149429	0.246247	0.185767		0.245719	0.246247			0.229403	0.23605	0.240412	0.246247	0.142262	0.246247	0.0197095	0.245719		0.244183			0.193676	0.246247	0.0192943		0.149429	0.247057			0.246247	0.185361				0.230042	0.236638
NZ_CP010577	0.0310999	0.246785	0.244941	0		0.245719	0.245719		0.244434	0.244183		0.243934	0.243934	0.245198	0.245198	0.244941	0.244687	0.243934	0.253047	0.244687	0.243934				0.0660238	0.235857		0.242478	0.124224	0.244941		0.243686		0.030801	0.0307375	0.0310933		0.0620779	0.239752	0.245198	0.243934		0.247057	0.00841694	0.247057	0.246515	0.0650494	0.0651128	0.0277044	0.0662009	0.245719				0.0653731	0.247057	0.264363	0.245982	0.0303839	0.243441	0.245458	0.235857		0.243934	0.243686	0.247888	0.242478		0.248169	0.243686	0.245198	0.0653278	0.245982	0.244183	0.0310152	0.245982	0.242008			0.0662159		0.0649499	0.0653679	0.0653696	0.242478	0.0649685	0.026782	0.247057	0.247888	0.0264262	0.243441	0.243934		0.0303655	0.0653602	0.244183	0.244941	0.0306261	0.256887	0.246785	0.0653517	0.242478		0.242478	0.247331	0.245458	0.241314	0.245719	0.264834		0.0653534	0.245198	0.245458	0.245719	0.247057			0.0310634	0.243934			0.0633763		0.243686	0.236245	0.242478	0.244687	0.246785			0.244434	0.244434				0.246785			0.0624981	0.00739551	0.243441	0.0310386		0.244183	0.0650782	0.0653329	0.0265681		0.245458	0.245719	0.244183	0.0653679	0.248453	0.0652758		0.245458	0.243934	0.243934	0.0653551	0.256518	0.244183	0.0788184	0.0665755	0.00721609	0.244941		0.245719		0.0636522		0.0653585	0.0653637	0.0653705	0.248169		0.243441		0.026496	0.244941		0.243686	0.233619	0.0311248		0.243441	0.245198				0.0657471	0.256153		0.245198		0.245719	0.256887	0.0653765	0.244687	0.255437	0.0653688	0.244434	0.242716	0.245719	0.00764078	0.245982	0.23847	0.0648567	0.243934	0.243934		0.264363	0.245198	0.245198	0.0651611	0.247331		0.0313373	0.0623727	0.0653474		0.244941	0.243934	0.0653517	0.23744	0.0649525		0.244434	0.0258677	0.0303331	0.244687	0.243441	0.0303383	0.245198	0.245198	0.030179	0.0648064		0.246247	0.244941	0.244434		0.243198	0.244183	0.243934	0.245198	0.0268548	0.243934	0.23997			0.244941		0.245458	0.00765259	0.0310123	0.244941	0.243686	0.245198	0.0799389		0.0653679	0.0653065	0.242478	0.0653876	0.259998		0.0653645	0.243934	0.245982	0.256887	0.242478	0.0300855		0.244183	0.065385		0.245458	0.244687	0.245719				0.06535		0.246515		0.0653671	0.0307207	0.244941	0.0653611	0.0276143	0.243934	0.0777834		0.254391	0.247331	0.0653688	0.244687	0.245458	0.245719	0.259191	0.245719		0.0653739	0.245198		0.245458	0.0634161	0.0273621		0.242478	0.0650494	0.253047		0.0653799	0.246247	0.0313736	0.0792662	0.235283	0.0654055	0.247331	0.0650773	0.0653808	0.244941	0.0653679	0.244434		0.0653679		0.0622326	0.065362	0.265312		0.245719	0.245198		0.0310623			0.245719	0.245719	0.0653679	0.243934	0.0311017	0.238261	0.0653842	0.247331	0.0657922	0.260408	0.0267031		0.244687	0.234533	0.137192	0.243934	0.0653773	0.243934	0.0653602	0.244687	0.0304348	0.244183	0.00718456	0.245198	0.242242	0.244941	0.0653602	0.245458		0.238261	0.0648634			0.0653585	0.246515			0.242956	0.246247	0.245982
NZ_CP012722	0.0644015	0.245719	0.246247	0.0653611	0	0.245982	0.247057		0.244941	0.245982		0.245458	0.245982	0.244941	0.242242	0.246515	0.245719	0.245982	0.250516	0.245982	0.246247		0.241086		0.0187259	0.235283		0.245982	0.123484	0.246247		0.245458		0.0633493	0.0628388	0.0645032		0.0462782	0.23847	0.246785	0.245982		0.245458	0.0661781	0.247331	0.245458	0.00902907	0.000677866	0.0648307	0.0349545	0.247331		0.0634664		3.56072e-05	0.245982	0.263899	0.246515	0.0615459	0.245458	0.245982	0.235664		0.245982	0.245198	0.244941	0.245719		0.246785	0.245719	0.242242	0.000375413	0.246515	0.242716	0.0626125	0.246515	0.241544		0.000138467	0.0136756	0.0167849	0.00870926	5.9694e-06	0.0142096	0.244941	0.00900182	0.0636908	0.245982	0.246515	0.0636434	0.245458	0.245982		0.0630527	1.12909e-06	0.245198	0.246515	0.0617104	0.256518	0.245458	0.000429748	0.24086	0.245982	0.245982	0.246247	0.246247	0.246785	0.245719	0.264363		0.000111706	0.245982	0.246247	0.246515	0.246247			0.0643496	0.245982			0.0697465		0.245719	0.235473	0.245719	0.245982	0.245719		0.245458	0.244941	0.240635				0.245982			0.0402422	0.0651985	0.245458	0.0643331		0.246247	0.0161945	0.000342834	0.0638498	0.0615631	0.246515	0.246785	0.244941	5.9694e-06	0.246247	0.016727		0.245982	0.245982	0.241544	3.19506e-05	0.256153	0.245982	0.0789314	0.0437562	0.0660212	0.245458	0.0187207	0.242478		0.0699555		4.28918e-05	0.000118912	6.97e-06	0.246785		0.245458		0.0636852	0.246515		0.244941	0.233619	0.0593384		0.245458	0.246515				0.0420381	0.255793		0.245719		0.246515	0.256518	0.000158842	0.246515	0.255437	6.55038e-06	0.244941	0.244687	0.245982	0.0655238	0.246247	0.238054	0.0139885	0.245719	0.245982		0.264363	0.243198	0.246247	0.0371629	0.246247		0.0646095	0.0365038	0.000135102		0.245982	0.242478	0.00042287	0.236245	0.00871016		0.244687	0.063476	0.0617584	0.246515	0.245198	0.0630142	0.245982	0.246247	0.0609297	0.0357653	0.0361757	0.241775	0.245982	0.244941		0.245198	0.245719	0.245719	0.242478	0.0645812	0.245982	0.239752			0.245458		0.246515	0.0655066	0.0621197	0.246247	0.245719	0.245982	0.0809131		3.8394e-06	0.000354294	0.245719	0.000145592	0.257259		4.02688e-05	0.246247	0.245458	0.256518	0.245982	0.0619649		0.246247	0.0360871		0.245982	0.245198	0.246247		0.00870965		0.000206612		0.246785	4.03336e-05	4.52887e-05	0.0631781	0.243198	3.82615e-05	0.0649113	0.245719	0.081193		0.253712	0.246247	6.06623e-06	0.244183	0.246247	0.245719	0.258405	0.245719		6.99689e-05	0.242242		0.246247	0.0134411	0.0640407		0.245982	0.00902927	0.25113		0.000110924	0.246785	0.0643966	0.0804759	0.246247	0.000189002	0.246247	0.0161948	2.35419e-05	0.245982	4.32345e-06	0.242242		1.53981e-05		0.0373	5.54982e-06	0.264834		0.246785	0.245719	0.0633827	0.0644321	0.00883425		0.246247	0.245982	5.9694e-06	0.245982	0.0644032	0.233439	0.000172994	0.246247	0.0164637	0.261673	0.0630032		0.245982	0.224979	0.135006	0.244687	0.000147096	0.245982	9.67785e-07	0.245982	0.0614916	0.246247	0.0650722	0.245719	0.243934	0.242008	4.95008e-05	0.245982		0.233439	0.0139854			0.000134677	0.246515			0.24086	0.245719	0.244183
NZ_CP024647	0.246515	0.193938				0	0.0457091			0.139185		0.13891	0.139405		0.192802		0.140211		0.239319											0.0156363					0.246247				0.191656		0.139617				0.0516034	0.229403	0.245982	0.245719	0.247331						0.245982				0.245982			0.230858				0.234533	0.140557		0.183675	0.142706	0.192802	0.245198			0.246247	0.0202202						0.245719	0.245982	0.246247	0.139617		0.246515	0.184882	0.180547	0.246247	0.139052	0.139704			0.245982		0.0188765	0.245719				0.233981			0.185081		0.0152084				0.246247		0.00641982									0.244941				0.140587	0.140054					0.192853				0.0510191			0.247331		0.139386	0.246515		0.138891	0.247057	0.245198	0.245458		0.0118618	0.00667266		0.245982		0.247057				0.192549	0.245982		0.139242		0.245458	0.245719	0.0199494							0.245982	0.245982			0.139261		0.247608	0.0205563		0.0159864	0.238892								0.246785			0.140796		0.0189578		0.244941	0.139033	0.237643		0.0152764	0.144533		0.244434	0.0197338		0.246785				0.239534	0.187785	0.0149927	0.245719	0.184763			0.246247					0.245982	0.231866			0.0153327				0.139081		0.00788133	0.0152143				0.235473	0.0193639	0.0152823			0.139742	0.140527		0.246785									0.245982		0.139453				0.245982				0.252395		0.245982	0.138939		0.2338		0.245719							0.00792751				0.245982		0.0502728				0.192399		0.245982	0.139166							0.0129496	0.0197794	0.241775	0.185081					0.0200829		0.246515		0.141434						0.246515		0.0154041			0.246785	0.245982									0.242242		0.0155905			0.246515				0.0200629	0.245982			0.147803	0.245982	0.184763		0.245719	0.246785			0.228777	0.235473	0.23997	0.245982	0.139704	0.245982		0.245982					0.192299	0.245982	0.00796984		0.147791	0.246785				0.181177					
NZ_CP025001	0.247057						0					0.141577					0.141403																												0.0536227																	0.229721				0.235283						0.247057										0.246785							0.185807		0.141301	0.141383			0.247057																																					0.192904															0.246247																	0.246247								0.247057	0.247057			0.14125						0.23997																						0.243198			0.247608					0.192955			0.186177			0.247331						0.230366									0.0469762	0.0451595						0.0460301																											0.247057	0.140867				0.247057													0.0516049				0.192549		0.245719									0.045632											0.135098												0.247057									0.242956													0.149233															0.247057						0.247057	0.0459408		0.149219					0.186012					
NZ_CP018184	0.241314	0.190691	0.143102	0.242478	0.245719	0.140587	0.136801	0	0.141567	0.0146701		0.0144048	0.00905102	0.141742	0.18994	0.138507	0.0138281	0.0149029	0.238261	0.139646	0.0144406	0.245198	0.228777	0.245719	0.243686	0.228469	0.140696	0.00513933	0.241544	0.140746		0.0149425	0.175998	0.238892	0.241314	0.241314		0.247057	0.190126	0.138854	0.0150057	0.014484	0.172201	0.241775	0.143209	0.226822	0.243686	0.245982	0.242716	0.243686	0.138778	1.32016e-05	0.244183	0.171881	0.245719	0.175878	0.238261	0.14125	0.243441	0.0169843	0.140766	0.228623	0.228623	0.0149395	0.0139965	0.234533	1.06504e-05	0.0151704	0.175699	0.0589137	0.18994	0.245719	0.140716	0.191951	0.246247	0.144353	0.223106		0.245719	0.245458	0.245458	0.244183	0.245719	0.243934	0.0189003	0.245458	0.244687	0.175788	0.17919	0.243686	0.0169784	0.0149086	0.176392	0.241086	0.245719	0.143123	0.142748	0.243198	0.237237	0.164095	0.245719	0.232906	0.0149005	0.00475058	0.174072	0.141018	0.138976	0.0409571	0.239319		0.245982	0.143655	0.14124	0.140746	0.143623	0.226101	0.242956	0.241314	0.00904566	0.190834		0.244434	0.189847	0.0585783	0.228933	1.5172e-05	0.0150242	0.174213	0.176088	0.17167	0.141567	0.189801	0.190644		0.0616004	0.142095	0.143199	0.245458	0.239319	0.243686	0.017098	0.241314	0.0149102	0.0144347	0.244941	0.245719	0.243686	0.245982	0.137579	0.141311	0.0370425	0.245719	0.238054	0.238261	0.0148868	0.14123	0.014886	0.190079	0.245719	0.236441	0.014875	0.242956	0.242956	0.242716	0.141403	0.243686	0.230204	0.190126	0.245458	0.140997	0.245719	0.245719	0.245719	0.175878	0.143677	0.0171334	0.245719	0.244687	0.144152	0.13929	0.1403	0.238261	0.244434	0.244687	0.0168564	0.139617				0.245198	0.237237		0.0609042		0.141721	0.238054	0.245458	0.0142713	0.23847	0.245719	0.141567	0.136537	0.140438	0.242956	0.143612	0.228623	0.23847	0.0144315	0.00522971	0.140349	0.239104	0.189662	0.142546	0.243934	0.173874		0.241544	0.239319	0.245719		0.143285	0.189115	0.245719	0.228777	0.244183		0.141536	0.244183	0.238892	0.014256	0.0145308	0.241314	0.142116	0.14243	0.245982	0.244687	0.245458	0.235283	0.143242	0.141577	0.244941	0.178728	0.0146486	5.00841e-05	0.189433	0.245198	0.0149044	0.190313		0.243934	0.141577		0.140025	0.242716	0.244687	0.143058	0.0173083	0.141444	0.235283	0.23997	0.245719	0.245719	1.80797e-05	0.246515	0.252719		0.245719	0.0144311	0.176728	0.235283	0.00513514	0.244687	0.01471	0.0147162	0.245458	0.245982	0.141659	0.141464	0.140827	0.245198	0.244183		0.245719	0.229246	0.144141	0.245719	0.245982	0.23997	0.189342	0.245719	0.242956	0.0144287	0.241544		0.235093	0.173454	0.245719	0.190786	0.136898	0.140867	0.233261	0.169633	0.245719	0.245719	0.18994	0.141444	0.14124	0.242716	0.243686	0.229721	0.00513251	0.243686	0.238054	0.245719	0.245719	0.143394	0.240412	0.242956	0.142241	0.245719	0.175699	0.244941	0.245719	0.141373	0.245719	0.236837		0.245719	0.0149489	0.245719	0.245719	0.239104	0.245198	0.14169	0.0600968	0.24086	0.241314	0.245198		0.143361	0.142973	0.245719	0.00905751	0.241314	0.134141	0.245719	0.175699	0.245198	0.246785	0.244687	0.245458	0.139781	0.216969	0.235664	0.238054	0.245719	0.0149096	0.245719	0.139549	0.246247	0.01537	0.243441	0.0409103	0.135148	0.189525	0.245719	0.140388	0.141311	0.134109	0.23847			0.245719	0.172577	0.143908		0.18994	0.229089	0.232906
NZ_CP020375	0.245458	0.193313				0.0152815	0.0460289		0	0.139128		0.139453	0.140478		0.192099		0.139976		0.238054											0.0158201					0.245198				0.190882		0.139588				0.0520276	0.228469	0.245458	0.245198	0.245458						0.244941				0.243441			0.230693				0.234164	0.141536		0.182995	0.142357	0.192099	0.245198			0.245198	0.020616						0.244434	0.244941	0.245719	0.13982		0.244941	0.184021	0.180617	0.244941	0.138986	0.139655			0.244941		0.0202116	0.244183				0.232906			0.18406		0.0162341				0.245198		0.015681									0.243198				0.141567	0.140428					0.192099				0.0513659			0.246247		0.139319	0.245198		0.139242	0.245719	0.244941	0.244941		0.0181754	0.0152399		0.244941		0.246247				0.192099	0.244941		0.139242		0.244687	0.244687	0.0202405							0.244941	0.244941			0.139242		0.246247	0.0206305		0.0158535	0.232731								0.244687			0.140438		0.0195226		0.244687	0.139176	0.237237		7.58332e-06	0.147754		0.243441	0.019849		0.245719				0.239534	0.193006	0.0153233	0.244434	0.183905			0.245458					0.244687	0.230858			6.56839e-05				0.139367		0.0169682	0.0154364				0.234905	0.0197146	1.30402e-05			0.139801	0.141516		0.245458									0.245198		0.139472				0.244941				0.25113		0.244941	0.138535		0.233619		0.244941							0.0163816				0.244687		0.0505328				0.191754		0.244687	0.138929							0.0189209	0.0200151	0.241086	0.184215					0.0203692		0.244941		0.14199						0.245198		0.015682			0.245719	0.244941									0.242242		0.0154103			0.245198				0.0202678	0.244941	0.140458		0.145366	0.244941	0.183675		0.244434	0.245198			0.22786	0.234533	0.239534	0.244941	0.139655	0.244941		0.244941					0.192099	0.244941	0.0164215		0.145366	0.245719				0.181071					
NZ_CP020367	0.246515						0.140369			0		0.0130612			0.190739		0.0104653		0.23868																0.246247						0.0112194				0.142001	0.226532		0.246785	0.244183													0.228623				0.235473				0.0582226		0.245982			0.245719							0.244434							0.180721	0.245198	0.0148198	0.0112588			0.245982		0.141608	0.245198							0.180134								0.139472													0.0146721	0.0108516					0.190266										0.246515		0.0105794	0.244941		0.244687					0.245982									0.0111034		0.244183	0.244941								0.245982	0.245982			0.0149746					0.139005	0.237848								0.244941														0.243198			0.245458					0.19117			0.18164			0.245458						0.228315			0.13909						0.140468	0.139665					0.141058	0.139128			0.0109283												0.245719						0.245982						0.245982	0.0104973				0.245719							0.140359				0.245982		0.142472				0.189479		0.244941									0.140847	0.23997	0.182219									0.0146654								0.139946				0.245982									0.23868					0.246515				0.1412	0.245982			0.135698					0.245458			0.226677	0.23605				0.245982		0.245719					0.190266	0.245982	0.140319		0.135639	0.245458				0.180582					
