total	accession	distance	total_kmers	group	method
1	NC_003997	0.0	5167109	BA	None
2	NC_007530	3.87166e-06	5166304	BA	intersect
3	NC_012659	3.87166e-06	5166222	BA	intersect
4	NZ_CP009981	7.74472e-06	5165793	BA	intersect
5	NZ_CP014179	2.68076e-05	5159850	BA	intersect
6	NZ_CP001970	3.16594e-05	5157164	BA	intersect
7	NZ_CP010792	3.29536e-05	5152308	BA	intersect
8	NZ_AP014833	3.57043e-05	5149627	BA	intersect
9	NZ_CP022044	3.79702e-05	5146793	BA	intersect
10	NZ_CP012723	3.91032e-05	5146463	BA	intersect
11	NZ_CP012720	3.95889e-05	5146345	BA	intersect
12	NZ_CP012721	3.95889e-05	5146285	BA	intersect
13	NC_005945	3.97508e-05	5145890	BA	intersect
14	NZ_CP012722	4.00745e-05	5145765	BA	intersect
15	NZ_CP001974	4.10459e-05	5143116	BA	intersect
16	NZ_CP015779	4.15317e-05	5139258	BA	intersect
17	NZ_CP012730	4.25032e-05	5138987	BA	intersect
18	NZ_CP012729	4.49324e-05	5137279	BA	intersect
19	NZ_CP012726	4.52563e-05	5137172	BA	intersect
20	NZ_CP012727	4.52563e-05	5137115	BA	intersect
21	NZ_CP012724	4.54183e-05	5137052	BA	intersect
22	NZ_CP012725	4.55803e-05	5136989	BA	intersect
23	NZ_CP012728	4.55803e-05	5136833	BA	intersect
24	NZ_CP023001	4.91443e-05	5133854	BA	intersect
25	NZ_CP009541	4.91443e-05	5131651	BA	intersect
26	NZ_CP019588	5.77352e-05	5129438	BA	intersect
27	NZ_CP012519	6.89299e-05	5120732	BA	intersect
28	NZ_CP009598	0.000112032	5110598	BA	intersect
29	NZ_CP009315	0.000115455	5103283	BA	intersect
30	NZ_CP009325	0.000124099	5096673	BA	intersect
31	NZ_CP009341	0.000124426	5082174	BA	intersect
32	NZ_CP009544	0.000135526	5073083	BA	intersect
33	NZ_CP009464	0.000137323	5063940	BA	intersect
34	NZ_CP009328	0.000140591	5061067	BA	intersect
35	NZ_CP010322	0.000141081	5053069	BA	intersect
36	NZ_CP007666	0.000144023	5052431	BA	intersect
37	NC_012581	0.000147783	5048430	BA	intersect
38	NZ_CP009331	0.000160545	5036619	BA	intersect
39	NC_017729	0.000178732	5024361	BA	intersect
40	NZ_CP010852	0.000196292	4993309	BA	intersect
41	NZ_CP009476	0.000212894	4958686	BA	intersect
42	NZ_CP018903	0.000347963	4923706	BA	intersect
43	NZ_CP009697	0.000360796	4916814	BA	intersect
44	NZ_CP008846	0.000381492	4907520	BA	intersect
45	NZ_CP006742	0.00042854	4893683	BA	intersect
46	NZ_CP009700	0.000434414	4892151	BA	intersect
47	NZ_CP007618	0.000540523	4845544	BA	intersect
48	NZ_CP009902	0.000686589	4843898	BA	intersect
49	NZ_CP018935	0.00873073	1120476	BCG	difference
50	NZ_CP018931	0.00873202	1120299	BCG	difference
51	NZ_CP018933	0.00873429	1120250	BCG	difference
52	NZ_CP009720	0.00889146	726619	BCG	difference
53	NZ_CP009335	0.00889997	613316	BCG	difference
54	NZ_CP009605	0.00899226	569196	BCG	difference
55	NZ_CP009596	0.00899325	569196	BCG	difference
56	NC_011773	0.00900412	526736	BCG	difference
57	NZ_CP020723	0.0134788	473981	BCG	difference
58	NZ_CP025122	0.0137917	429840	BCG	difference
59	NC_005957	0.0139993	409528	BCG	difference
60	NZ_CP010088	0.0140025	409527	BCG	difference
61	NC_014335	0.0142469	382532	BCG	difference
62	NC_008600	0.01615	365259	BCG	difference
63	NZ_CP009600	0.0161516	365258	BCG	difference
64	NC_016779	0.0163111	358296	BCG	difference
65	NC_012472	0.016481	355141	BCG	difference
66	NZ_CP009318	0.0164857	355116	BCG	difference
67	NZ_CP009641	0.0167203	354002	BCG	difference
68	NZ_CP009300	0.0167786	349677	BCG	difference
69	NC_006274	0.0186352	334413	BCG	difference
70	NZ_CP009968	0.0186394	334412	BCG	difference
71	NZ_CP023179	0.0351254	324156	BCG	difference
72	NZ_CP017016	0.0358486	319278	BCG	difference
73	NC_011969	0.0359391	312946	BCG	difference
74	NC_016771	0.0362516	305799	BCG	difference
75	NC_011658	0.0363451	305706	BCG	difference
76	NZ_CP009628	0.0366122	297562	BCG	difference
77	NC_017200	0.0372079	295241	BCG	difference
78	NZ_CP015589	0.0373928	292142	BCG	difference
79	NZ_CP009369	0.0405242	290690	BCG	difference
