#accession	gi	is_bcg	is_ba	species	genome_size	description
NZ_CP022319	1252977568	False	False	altitudinis	3,812,576	Bacillus altitudinis strain SGAir0031 chromosome, complete genome
NZ_CP024204	1274302977	False	False	altitudinis	3,765,752	Bacillus altitudinis strain P-10 chromosome, complete genome
NC_009725	154684518	False	False	amyloliquefaciens	3,918,589	Bacillus amyloliquefaciens subsp. plantarum str. FZB42, complete genome
NC_014551	308171891	False	False	amyloliquefaciens	3,980,199	Bacillus amyloliquefaciens DSM7 complete genome
NC_016784	375360690	False	False	amyloliquefaciens	4,019,861	Bacillus amyloliquefaciens subsp. plantarum CAU B946 complete genome
NC_017061	384263631	False	False	amyloliquefaciens	4,242,774	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2 complete genome
NC_017188	384157612	False	False	amyloliquefaciens	3,937,511	Bacillus amyloliquefaciens TA208, complete genome
NC_017190	384162404	False	False	amyloliquefaciens	3,995,227	Bacillus amyloliquefaciens LL3, complete genome
NC_017191	384166624	False	False	amyloliquefaciens	3,939,203	Bacillus amyloliquefaciens XH7, complete genome
NC_017912	387896523	False	False	amyloliquefaciens	4,238,624	Bacillus amyloliquefaciens Y2, complete genome
NC_020272	451344759	False	False	amyloliquefaciens	3,928,857	Bacillus amyloliquefaciens IT-45, complete genome
NC_020410	452854062	False	False	amyloliquefaciens	3,910,324	Bacillus amyloliquefaciens subsp. plantarum UCMB5036 complete genome
NC_022075	530567812	False	False	amyloliquefaciens	4,071,167	Bacillus amyloliquefaciens subsp. plantarum UCMB5033, complete genome
NC_022081	530612796	False	False	amyloliquefaciens	3,889,532	Bacillus amyloliquefaciens subsp. plantarum UCMB5113, complete genome
NC_022530	549695945	False	False	amyloliquefaciens	4,196,170	Bacillus amyloliquefaciens subsp. plantarum NAU-B3, complete genome
NC_022653	556555759	False	False	amyloliquefaciens	3,916,828	Bacillus amyloliquefaciens CC178, complete genome
NC_023073	568175750	False	False	amyloliquefaciens	3,942,754	Bacillus amyloliquefaciens LFB112, complete genome
NZ_CP006058	1008205905	False	False	amyloliquefaciens	4,034,636	Bacillus amyloliquefaciens UMAF6639, complete genome
NZ_CP006960	1008207905	False	False	amyloliquefaciens	4,005,145	Bacillus amyloliquefaciens UMAF6614, complete genome
NZ_CP007242	756417126	False	False	amyloliquefaciens	3,953,361	Bacillus amyloliquefaciens subsp. amyloliquefaciens KHG19, complete genome
NZ_CP007244	749298802	False	False	amyloliquefaciens	3,957,904	Bacillus amyloliquefaciens subsp. plantarum TrigoCor1448, complete genome
NZ_CP010556	761805782	False	False	amyloliquefaciens	3,905,973	Bacillus amyloliquefaciens strain L-H15, complete genome
NZ_CP011252	1212739304	False	False	amyloliquefaciens	3,897,521	Bacillus amyloliquefaciens strain MT45, complete genome
NZ_CP011278	814561882	False	False	amyloliquefaciens	3,903,017	Bacillus amyloliquefaciens strain L-S60, complete genome
NZ_CP013727	971837182	False	False	amyloliquefaciens	3,966,922	Bacillus amyloliquefaciens strain MBE1283, complete genome
NZ_CP014700	1036086780	False	False	amyloliquefaciens	3,927,922	Bacillus amyloliquefaciens strain S499, complete genome
NZ_CP014783	1009102575	False	False	amyloliquefaciens	4,006,754	Bacillus amyloliquefaciens strain B15 chromosome, complete genome
NZ_CP016913	1053186103	False	False	amyloliquefaciens	3,688,209	Bacillus amyloliquefaciens strain RD7-7, complete genome
NZ_CP017953	1101993503	False	False	amyloliquefaciens	3,957,164	Bacillus amyloliquefaciens strain Y14, complete genome
NZ_CP018152	1119669098	False	False	amyloliquefaciens	3,989,393	Bacillus amyloliquefaciens strain LM2303 chromosome, complete genome
NZ_CP018200	1126145825	False	False	amyloliquefaciens	3,929,787	Bacillus amyloliquefaciens strain WS-8 chromosome, complete genome
NZ_CP021505	1207670201	False	False	amyloliquefaciens	4,070,574	Bacillus amyloliquefaciens strain SRCM101267 chromosome, complete genome
NC_003997	30260195	True	True	anthracis	5,227,293	Bacillus anthracis str. Ames chromosome, complete genome
NC_005945	49183039	True	True	anthracis	5,228,663	Bacillus anthracis str. Sterne chromosome, complete genome
NC_007530	50196905	True	True	anthracis	5,227,419	Bacillus anthracis str. 'Ames Ancestor', complete genome
NC_012581	227812678	True	True	anthracis	5,230,115	Bacillus anthracis str. CDC 684, complete genome
